"Imbalance settlement period (CET/CEST)","+ Imbalance Price [EUR/MWh] - SCA|FR","+ Scarcity [EUR/MWh] - SCA|FR","+ Incentive [EUR/MWh] - SCA|FR","+ Financial Neutrality [EUR/MWh] - SCA|FR","- Imbalance Price [EUR/MWh] - SCA|FR","- Scarcity [EUR/MWh] - SCA|FR","- Incentive [EUR/MWh] - SCA|FR","- Financial Neutrality [EUR/MWh] - SCA|FR","Currency","Status","Total Imbalance [MWh] - SCA|FR","Difference","Situation","Status"
"02.01.2022 19:00 - 02.01.2022 19:30","64.46","","","","71.24","","","","EUR","Estimated","256","","Deficit","Final"
"02.01.2022 19:30 - 02.01.2022 20:00","62.06","","","","68.60","","","","EUR","Estimated","284","","Surplus","Final"
"02.01.2022 20:00 - 02.01.2022 20:30","69.29","","","","76.59","","","","EUR","Estimated","412","","Surplus","Final"
"02.01.2022 20:30 - 02.01.2022 21:00","54.18","","","","59.88","","","","EUR","Estimated","413","","Surplus","Final"
"02.01.2022 21:00 - 02.01.2022 21:30","43.85","","","","48.47","","","","EUR","Estimated","16","","Deficit","Final"
"02.01.2022 21:30 - 02.01.2022 22:00","43.84","","","","48.46","","","","EUR","Estimated","378","","Surplus","Final"
"02.01.2022 22:00 - 02.01.2022 22:30","43.88","","","","48.50","","","","EUR","Estimated","755","","Surplus","Final"
"02.01.2022 22:30 - 02.01.2022 23:00","43.98","","","","48.60","","","","EUR","Estimated","615","","Deficit","Final"
"02.01.2022 23:00 - 02.01.2022 23:30","31.28","","","","34.58","","","","EUR","Estimated","10","","Deficit","Final"
"02.01.2022 23:30 - 03.01.2022 00:00","31.28","","","","34.58","","","","EUR","Estimated","162","","Deficit","Final"
"03.01.2022 00:00 - 03.01.2022 00:30","95.56","","","","105.62","","","","EUR","Estimated","1131","","Surplus","Final"
"03.01.2022 00:30 - 03.01.2022 01:00","42.01","","","","46.43","","","","EUR","Estimated","1977","","Surplus","Final"
"03.01.2022 01:00 - 03.01.2022 01:30","14.36","","","","15.88","","","","EUR","Estimated","1094","","Surplus","Final"
"03.01.2022 01:30 - 03.01.2022 02:00","-1.80","","","","-1.62","","","","EUR","Estimated","1017","","Surplus","Final"
"03.01.2022 02:00 - 03.01.2022 02:30","-21.64","","","","-19.58","","","","EUR","Estimated","730","","Surplus","Final"
"03.01.2022 02:30 - 03.01.2022 03:00","-25.57","","","","-23.13","","","","EUR","Estimated","955","","Surplus","Final"
"03.01.2022 03:00 - 03.01.2022 03:30","-21.83","","","","-19.75","","","","EUR","Estimated","822","","Surplus","Final"
"03.01.2022 03:30 - 03.01.2022 04:00","-13.92","","","","-12.60","","","","EUR","Estimated","1102","","Surplus","Final"
"03.01.2022 04:00 - 03.01.2022 04:30","-19.64","","","","-17.77","","","","EUR","Estimated","651","","Surplus","Final"
